onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.5573,0.0,465.43,465.2,0.996,True
correct,0.8359,0.8359,0.0,415.47,415.48,1.0,True
correct,1.1146,1.1146,0.0,369.59,369.82,0.995,True
late,1.37,1.3932,-23.22,349.26,354.84,0.872,True
correct,1.6486,1.6718,-23.22,311.26,311.26,1.0,True
correct,2.2059,2.2291,-23.22,311.31,311.28,0.999,True
late,2.4613,2.5078,-46.44,324.09,348.88,0.528,True
correct,2.74,2.7864,-46.44,369.77,369.44,0.992,True
correct,3.0186,3.065,-46.44,465.74,465.69,0.999,True
late,3.2972,3.3205,-23.22,415.56,415.43,0.997,True
late,3.8313,3.8777,-46.44,415.42,414.62,0.984,True
correct,4.1099,4.1564,-46.44,369.64,369.72,0.998,True
correct,4.3886,4.435,-46.44,348.98,349.26,0.993,True
late,4.644,4.7137,-69.66,277.27,277.44,0.995,True
correct,4.9226,4.9923,-69.66,309.51,311.26,0.952,True
correct,5.4799,5.5496,-69.66,311.32,311.31,1.0,True
late,5.7353,5.8282,-92.88,348.88,348.92,0.999,True
late,6.014,6.0836,-69.66,369.72,369.81,0.998,True
correct,6.2926,6.3623,-69.66,465.74,465.79,0.999,True
correct,6.5712,6.6409,-69.66,415.57,415.24,0.993,True
early,6.8267,6.7802,46.44,413.93,414.59,0.986,True
correct,7.1053,7.0589,46.44,414.88,415.13,0.995,True
correct,7.3839,7.3375,46.44,369.63,369.67,0.999,True
correct,7.6626,7.6161,46.44,348.96,348.84,0.997,True
early,7.918,7.8948,23.22,277.3,277.49,0.994,True
correct,8.1966,8.1734,23.22,309.51,311.28,0.952,True
