onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.5805,-23.22,465.43,465.76,0.994,True
correct,0.8359,0.8591,-23.22,415.47,415.54,0.998,True
correct,1.1146,1.1378,-23.22,369.59,369.54,0.999,True
late,1.37,1.4164,-46.44,349.26,348.89,0.991,True
correct,1.6486,1.6951,-46.44,311.26,311.34,0.998,True
correct,2.2059,2.2523,-46.44,311.31,311.32,1.0,True
late,2.4613,2.531,-69.66,324.09,348.9,0.528,True
correct,2.74,2.8096,-69.66,369.77,369.58,0.995,True
correct,3.0186,3.065,-46.44,465.74,465.83,0.998,True
correct,3.2972,3.3437,-46.44,415.56,415.23,0.993,True
correct,3.8313,3.901,-69.66,415.42,415.35,0.999,True
correct,4.1099,4.1796,-69.66,369.64,369.54,0.998,True
correct,4.3886,4.4582,-69.66,348.98,349.54,0.986,True
late,4.644,4.7369,-92.88,277.27,277.34,0.998,True
correct,4.9226,5.0155,-92.88,309.51,311.49,0.946,True
correct,5.4799,5.5728,-92.88,311.32,310.69,0.983,True
late,5.7353,5.8514,-116.1,348.88,349.12,0.994,True
correct,6.014,6.1301,-116.1,369.72,369.44,0.993,True
correct,6.2926,6.4087,-116.1,465.74,465.78,0.999,True
correct,6.5712,6.6873,-116.1,415.57,415.44,0.997,True
late,6.8267,6.966,-139.32,413.93,415.7,0.964,True
correct,7.1053,7.2446,-139.32,414.88,415.55,0.986,True
correct,7.3839,7.5233,-139.32,369.63,369.49,0.997,True
correct,7.6626,7.8019,-139.32,348.96,349.02,0.999,True
late,7.918,8.0805,-162.54,277.3,277.51,0.994,True
correct,8.1966,8.3592,-162.54,309.51,311.25,0.953,True
