onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,461.9,463.9,461.9,0.964,True
correct,0.279,0.279,0.0,415.5,415.5,415.5,0.999,True
correct,0.558,0.558,0.0,369.6,369.6,369.6,1.0,True
correct,0.813,0.813,0.0,349.3,349.9,349.3,0.983,True
correct,1.092,1.092,0.0,311.3,311.2,311.3,0.999,True
correct,1.649,1.649,0.0,311.3,311.3,311.3,1.0,True
correct,1.904,1.904,0.0,324.1,321.5,324.1,0.933,True
correct,2.183,2.183,0.0,369.8,369.3,369.8,0.988,True
correct,2.462,2.462,0.0,465.7,465.7,465.7,1.0,True
late,2.74,3.274,-0.534,415.2,414.8,415.2,0.991,True
late,3.274,3.832,-0.558,412.7,415.4,412.7,0.945,True
correct,3.553,4.11,-0.557,369.6,369.6,369.6,1.0,True
early,3.832,4.366,-0.534,349.0,349.7,349.0,0.982,True
late,4.087,4.644,-0.557,277.3,276.8,277.3,0.985,True
correct,4.366,4.923,-0.557,311.2,311.3,311.2,0.998,True
early,4.923,5.457,-0.534,311.3,311.4,311.3,0.998,True
late,5.178,5.736,-0.558,324.6,348.8,324.6,0.537,True
correct,5.457,6.014,-0.557,369.7,371.7,369.7,0.956,True
correct,5.736,6.293,-0.557,465.7,465.7,465.7,0.999,True
early,6.014,6.548,-0.534,415.3,414.6,415.3,0.986,True
late,6.27,6.827,-0.557,413.9,415.1,413.9,0.976,True
correct,6.548,7.106,-0.558,409.7,415.4,409.7,0.887,True
correct,6.827,7.384,-0.557,369.6,369.6,369.6,1.0,True
early,7.106,7.64,-0.534,349.0,348.3,349.0,0.985,True
late,7.361,7.918,-0.557,276.5,276.9,276.5,0.987,True
correct,7.64,8.197,-0.557,311.2,311.3,311.2,0.998,True
