mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,26,26,19,3,4,0,0,True,0.004,109.00,107.70,1.30
timing_errors,note_too_late,26,26,16,6,4,0,0,True,0.013,109.00,107.65,1.35
