mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,114,113,111,1,1,1,0,True,0.006,69.00,71.80,2.80
timing_errors,note_too_late,114,113,111,2,0,1,0,True,0.006,69.00,71.80,2.80
