onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.5341,23.22,465.43,461.88,0.936,True
early,0.8359,0.7895,46.44,415.47,414.65,0.983,True
early,1.1146,1.0449,69.66,369.59,368.44,0.973,True
correct,1.37,1.3003,69.66,349.26,348.12,0.972,True
correct,1.6486,1.579,69.66,311.26,310.51,0.979,True
early,2.2059,2.0898,116.1,311.31,310.11,0.967,True
correct,2.4613,2.3452,116.1,324.09,349.64,0.518,True
correct,2.74,2.6239,116.1,369.77,366.37,0.923,True
early,3.0186,2.8793,139.32,465.74,465.81,0.999,True
early,3.2972,3.1347,162.54,415.56,414.45,0.977,True
correct,3.8313,3.6688,162.54,415.42,416.92,0.969,True
early,4.1099,3.9242,185.76,369.64,368.65,0.977,True
early,4.3886,4.1796,208.98,348.98,348.94,0.999,True
correct,4.644,4.435,208.98,277.27,277.12,0.995,True
correct,4.9226,4.7137,208.98,309.51,312.1,0.93,True
early,5.4799,5.2245,255.42,311.32,302.85,0.788,True
correct,5.7353,5.4799,255.42,348.88,351.49,0.937,True
correct,6.014,5.7585,255.42,369.72,371.38,0.962,True
early,6.2926,6.014,278.64,465.74,465.74,1.0,True
early,6.5712,6.2694,301.86,415.57,415.08,0.99,True
correct,6.8267,6.5248,301.86,413.93,413.37,0.988,True
early,7.1053,6.7802,325.08,414.88,415.17,0.994,True
correct,7.3839,7.0589,325.08,369.63,368.97,0.985,True
early,7.6626,7.3143,348.3,348.96,349.1,0.997,True
correct,7.918,7.5697,348.3,277.3,277.34,0.999,True
early,8.1966,7.8251,371.52,309.51,312.54,0.919,True
