mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,94,95,74,8,12,0,1,True,0.013,140.00,143.60,3.60
timing_errors,note_too_late,94,95,74,9,11,0,1,True,0.011,140.00,143.60,3.60
