change_type,note_index,original_pitch,mutated_pitch,original_velocity,mutated_velocity,modifications,original_start,original_duration
modified,8,66.0,70.0,80.0,80.0,pitch: 66.0 → 70,,
modified,9,70.0,68.0,80.0,80.0,pitch: 70.0 → 68,,
modified,11,68.0,65.0,80.0,80.0,pitch: 68.0 → 65,,
modified,12,66.0,61.0,80.0,80.0,pitch: 66.0 → 61,,
modified,13,65.0,63.0,80.0,80.0,pitch: 65.0 → 63,,
modified,14,61.0,63.0,80.0,80.0,pitch: 61.0 → 63,,
modified,15,63.0,65.0,80.0,80.0,pitch: 63.0 → 65,,
modified,16,63.0,70.0,80.0,80.0,pitch: 63.0 → 70,,
modified,17,65.0,68.0,80.0,80.0,pitch: 65.0 → 68,,
modified,18,66.0,68.0,80.0,80.0,pitch: 66.0 → 68,,
modified,19,70.0,68.0,80.0,80.0,pitch: 70.0 → 68,,
modified,20,68.0,66.0,80.0,80.0,pitch: 68.0 → 66,,
modified,21,68.0,65.0,80.0,80.0,pitch: 68.0 → 65,,
modified,22,68.0,61.0,80.0,80.0,pitch: 68.0 → 61,,
modified,23,66.0,63.0,80.0,80.0,pitch: 66.0 → 63,,
removed,24,65.0,,80.0,,Note removed,0.0,0.0
removed,25,61.0,,80.0,,Note removed,0.0,0.0
removed,26,63.0,,80.0,,Note removed,0.0,0.0
