mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,256,256,255,0,1,0,0,True,0.005,50.00,49.70,0.30
timing_errors,note_too_late,256,256,255,1,0,0,0,True,0.003,50.00,49.70,0.30
