mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,106,106,106,0,0,0,0,True,0.023,104.00,107.65,3.65
timing_errors,note_too_late,119,106,52,32,22,13,0,True,0.022,104.00,107.65,3.65
