onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
late,0.5573,0.6734,-116.1,465.43,466.3,0.984,True
late,0.8359,0.9985,-162.54,415.47,415.51,0.999,True
late,1.1146,1.3003,-185.76,369.59,369.27,0.993,True
late,1.37,1.6022,-232.2,349.26,351.34,0.95,True
late,1.6486,1.9273,-278.64,311.26,311.59,0.991,True
late,2.2059,2.5078,-301.86,311.31,311.23,0.998,True
late,2.4613,2.8096,-348.3,324.09,349.37,0.522,True
correct,2.74,3.0883,-348.3,369.77,370.13,0.992,True
correct,3.0186,3.3669,-348.3,465.74,465.76,1.0,True
correct,3.2972,3.6455,-348.3,415.56,415.03,0.989,True
correct,3.8313,4.1796,-348.3,415.42,407.71,0.85,True
correct,4.1099,4.4582,-348.3,369.64,369.48,0.996,True
late,4.3886,4.7137,-325.08,348.98,348.15,0.98,True
correct,4.644,4.9691,-325.08,277.27,277.23,0.998,True
late,4.9226,5.2245,-301.86,309.51,304.47,0.868,True
late,5.4799,5.7353,-255.42,311.32,313.51,0.941,True
late,5.7353,5.9675,-232.2,348.88,348.82,0.999,True
late,6.014,6.1997,-185.76,369.72,370.23,0.988,True
late,6.2926,6.4551,-162.54,465.74,465.7,0.999,True
late,6.5712,6.6873,-116.1,415.57,415.26,0.993,True
early,7.1053,6.9195,185.76,414.88,414.38,0.989,True
correct,7.1053,7.1285,-23.22,414.88,409.91,0.901,True
early,7.3839,7.3607,23.22,369.63,369.53,0.998,True
early,7.6626,7.5697,92.88,348.96,348.66,0.993,True
early,7.918,7.8019,116.1,277.3,277.49,0.994,True
early,8.1966,8.0109,185.76,309.51,311.54,0.945,True
