mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,68,68,50,9,9,0,0,True,0.007,100.00,99.40,0.60
timing_errors,note_too_late,68,68,67,1,0,0,0,True,0.016,100.00,99.40,0.60
