onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.2554,301.86,465.43,464.31,0.979,True
early,0.8359,0.5108,325.08,415.47,415.47,1.0,True
early,1.1146,0.7663,348.3,369.59,369.56,0.999,True
correct,1.37,1.0217,348.3,349.26,349.03,0.994,True
early,1.6486,1.4861,162.54,311.26,311.24,0.999,True
early,2.2059,1.7647,441.18,311.31,310.18,0.969,True
correct,2.4613,2.0201,441.18,324.09,348.94,0.527,True
early,2.74,2.2756,464.4,369.77,369.59,0.996,True
early,3.0186,2.531,487.62,465.74,465.81,0.999,True
early,3.2972,3.0883,208.98,415.56,415.46,0.998,True
early,3.8313,3.3437,487.62,415.42,412.78,0.946,True
correct,4.1099,3.6223,487.62,369.64,369.6,0.999,True
early,4.3886,3.8545,534.06,348.98,348.81,0.996,True
early,4.644,4.0867,557.28,277.27,277.46,0.994,True
early,4.9226,4.5976,325.08,309.51,310.56,0.971,True
early,5.4799,4.8762,603.72,311.32,310.83,0.986,True
early,5.7353,5.1084,626.94,348.88,348.9,0.999,True
early,6.014,5.3638,650.16,369.72,369.59,0.997,True
early,6.2926,5.596,696.6,465.74,465.79,0.999,True
early,6.5712,5.8282,743.04,415.57,415.23,0.993,True
early,6.8267,6.1068,719.82,413.93,415.6,0.966,True
early,7.1053,6.3623,743.04,414.88,415.55,0.986,True
early,7.3839,6.5945,789.48,369.63,369.67,0.999,True
early,7.6626,6.8499,812.7,348.96,348.81,0.996,True
early,7.918,7.0821,835.92,277.3,277.46,0.995,True
late,8.1966,8.4288,-232.2,309.51,311.06,0.958,True
