mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,39,39,38,0,1,0,0,True,0.009,104.00,103.35,0.65
timing_errors,note_too_late,39,39,38,1,0,0,0,True,0.007,104.00,104.70,0.70
