onset_timestamp,pitch,change_type
0.0,70,no_change
0.545,70,no_change
0.818,68,no_change
1.091,66,no_change
1.364,65,no_change
1.636,63,no_change
2.182,63,no_change
2.455,65,no_change
2.727,66,no_change
3.0,70,no_change
3.273,68,no_change
3.955,66,no_change
4.228,65,no_change
4.5,61,no_change
4.773,63,no_change
5.319,63,no_change
5.591,65,no_change
5.864,66,no_change
6.137,70,no_change
6.409,68,no_change
6.682,68,no_change
6.955,68,no_change
7.228,66,no_change
7.5,65,no_change
7.773,61,no_change
8.046,63,no_change
3.818,68,early
