mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,25,25,16,4,5,0,0,True,0.010,120.00,117.50,2.50
timing_errors,note_too_late,25,25,22,2,1,0,0,True,0.010,120.00,117.50,2.50
