mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,beat_spectrum_similar,beat_spectrum_max_difference,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
timing_errors,note_too_soon,480,480,425,27,28,0,0,True,0.013,80.00,80.75,0.75
timing_errors,note_too_late,481,482,474,3,4,0,1,True,0.010,80.00,80.75,0.75
