onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
early,0.5573,0.4412,116.1,465.43,465.53,0.998,True
early,0.8359,0.6734,162.54,415.47,415.56,0.998,True
early,1.1146,0.8824,232.2,369.59,369.64,0.999,True
early,1.37,1.1146,255.42,349.26,348.64,0.985,True
early,1.6486,1.3468,301.86,311.26,311.26,1.0,True
early,2.2059,1.8112,394.74,311.31,311.21,0.997,True
correct,2.4613,2.0666,394.74,324.09,348.93,0.528,True
early,2.74,2.2988,441.18,369.77,368.64,0.974,True
early,3.0186,2.5542,464.4,465.74,465.78,0.999,True
early,3.2972,2.8096,487.62,415.56,409.44,0.879,True
correct,3.8313,3.3437,487.62,415.42,414.23,0.975,True
correct,4.1099,3.6223,487.62,369.64,369.52,0.997,True
early,4.3886,3.8777,510.84,348.98,348.94,0.999,True
early,4.644,4.1796,464.4,277.27,277.61,0.989,True
correct,4.9226,4.4582,464.4,309.51,311.27,0.952,True
early,5.4799,5.0387,441.18,311.32,318.99,0.81,True
early,5.7353,5.3638,371.52,348.88,348.92,0.999,True
early,6.014,5.6657,348.3,369.72,369.52,0.995,True
early,6.2926,5.9675,325.08,465.74,464.01,0.968,True
early,6.5712,6.3158,255.42,415.57,415.59,1.0,True
late,6.5712,6.6409,-69.66,415.57,415.53,0.999,True
late,6.8267,6.966,-139.32,413.93,411.11,0.943,True
early,7.3839,7.3143,69.66,369.63,369.42,0.995,True
correct,7.6626,7.6626,0.0,348.96,351.27,0.944,True
late,7.918,8.0109,-92.88,277.3,273.02,0.874,True
late,8.1966,8.4056,-208.98,309.51,311.14,0.955,True
